EmployeeID,Department,Experience,Salary,JoiningYear
101,HR,1,35000,2015
102,Finance,5,55000,2018
103,IT,3,45000,2016
104,Marketing,7,65000,2012
105,Sales,2,40000,2019
106,HR,6,70000,2014
107,Finance,4,48000,2017
108,IT,8,80000,2010
109,Marketing,2,42000,2020
110,Sales,10,90000,2009
111,HR,7,75000,2013
112,Finance,3,46000,2016
113,IT,5,52000,2015
114,Marketing,9,85000,2011
115,Sales,1,37000,2021
116,HR,6,72000,2013
117,Finance,8,81000,2008
118,IT,4,50000,2017
119,Marketing,2,43000,2019
120,Sales,9,88000,2010
